"";"N";"CONCESSIONARIO";"RESIDENCIA";"OBJECTO";"DECRETO";"DURAÇÃO"
"93";"2.234";"William Frederick Singer.";"New-York";"Aperfeiçoament >S em apparelhos refrigerantes.";"Idem";"Idem."
"94";"2.265";"João da Costa Pereira Cotrim e Manoel Fer- reira Pinto da Fonseca.";"Capital Federal";"Producto denominado-Massa lactea phosphatada Freire de Aguiar";"22 de maio";"Idem."
"93";"2.266";"Henrique de Oliveira Amaral";"Idem";"Ventilador para renovar o ar em quartos, salas e outros commodos insufficientemente arejados";"25 de maio";"Idem."
"96";"2.257";"Dr. Carlos Cianconi";"Idem";"Apparelho para producção do gaz acetyleno, de nominado - Gazogeneo Brazil";"28 de maio";"Idem."
"97";"2 238";"Yessie Baker";"El Paso (Estados Unidos da America do Norte)";"A perfeiçoamentos em arados";"29 de maio";"Idem."
"98";"2 269";"Robert Joseph Fisher.";"Athens (Estados Unidos da America do Norte)";"Machina de escrever";"Idem";"Idem."
"99";"2.270";"Gregorio Gonçalves de Castro Mascareahas";"Amparo (S. Paulo)";"Novo systema de annuncios illuminados electrica e poljchomicamente, com typos fixos e moviveis para calçadas, paredes, pavimentos das ruas, praças, largos e jardins";"Idem";"Idem."
"100";"2.271";"Dr. F. M. Dafert e Luiz Rivinin";"Campinas";"Processo novo da matança das formigas por meio de sulphareto de carbono";"Idem";"Idem."
"101";"2.272";"Eugen Hornung e Stefan Hansel";"Vienna d'Austria";"Processo para impedir que o caout-chouc, gutta- percha e seus compostos endureçam e se tornem frageis";"Idem";"Idem."
"102";"2.273";"George Henry Grandy e George Arthur Lin- gard";"Inglaterra";"Methodo ou processo aperfeiçoado de impressão photo-collographica sobre ceramica, metaes ou outras superficies, rigidas";"Idem";"Idem."
"103";"2.274";"Ignacio Viriato Baptista";"Porto Alegre";"Arado mecanico rotativo.";"27 de maio";"Idem."
