"";"N";"CONCESSIONARIOS";"RESIDENCIA";"OBJECTO";"DECRETOS";"DURAÇÃO"
"87";"2538";"Francisco João Soler.";"Idem";"Novo processo de fabricação de sabão.";"6 de maio";"Idem."
"88";"2539";"Gsorge Labram.";"Kimberiey (Colonia do Cabo da Boa Esperança)";"Processo e apparelho para a separação dos dia- mantes das materias terrosas";"Idem";"Idem."
"89";"2540";"Ottmar Kern.";"Paris (França).";"Aperfeiçoamento em combustores de gaz incan- descente,";"Idem";"Idem."
"90";"2541";"Dr. Walther Nernst";"Gottingen (Allemanha)";"Lampada electrica de incandescencia";"Idem";"Idem."
"91";"2542";"Carlo Sacco";"Buenos-Ayres ( Republica Argentina)";"Um amassadormecanico de dupla helice - Syste- ma c. Sacco";"Idem";"Idem."
"92";"2543";"Samuel Edward Haskim";"Westminster ( Inglaterra ).";"Aperfeiçoamento em apparelhos empregados no tratamento de madeiras";"12 de maio";"Idem."
"93";"2544";"Joh. Friedr Wallmann & Comp.";"Berlim (Allemanha)";"Processo de gravura para a reproducção pela impressão ou pela photographia";"Idem";"Idem."
"94";"2545";"Thor Raghar Tornerhielm";"Stockolmo (Suecia)";"Separador centrifugo aperfeiçoado para a sepa- ração da nata do leite ou de substancias seme- lhantes";"Idem";"Idem."
"95";"2546";"Herman Casler";"Canastota, Condado de Ma- dison (E. U. da America do Norte).";"Processo para mostrar as diversas posições de um corpo ou corpos em movimento, denomi- nado - Mutuscopio.";"Idem";"Idem."
"96";"2547";"Herman Casler";"New York (E. U. da Ame- rica do Norte)";"Mecanismo para alimentação de telas e mani- pulação de apparelho por vistas consecutivas, machinas de projecção e semelhantes";"Idem";"Idem."
"97";"2548";"Charles Eduard O' Keenan";"Paris (França).";"Um medidor de electricidade";"Idem";"Idem."
"98";"2549";"Ernesto Marcos Tigna da Cunha";"Capital Federal.";"Systema de disseccamento de pantanos fluviaes e maritimos";"18 de maio";"Idem."
"99";"2550";"Juan Monterrubio";"Buenos-Ayres";"Systema aperfeiçoado de fazer sabão com o em- prego. directo de sementes oleoginosas";"21 de maio";"Idem."
"100";"2551";"Adolpho Werre.";"Paris (França).";"Nova lampada electrica de incandescencia.";"Idem";"Idem."
"101";"2532";"Olympio Luiz Ennes";"Nictheroy (Estado do Rio de Janeiro)";"Aperfeiçcamento em machina de fabricar cigarros.";"21 de maio";"15 annos."
"102";"2553";"Muttoni Hermanos.";"Montevidão (R. Oriental do Uruguay";"Um enxergão elastico de aço, systema Muttoni.";"Idem";"Idem."
"103";"2534";"Diego Mattei.";"Genova (Italia).";"Uma machina para tinctura continua das fibras testis (algodão, etc.), sobre fórma de ritas de cargas";"Mem";"[dem."
"104";"2535";"Benjamin Charle Poles";"Londres (Inglaterra).";"Aperfeiçoamento em machinas de força motora.";"Idem";"Idem."
"105";"2356";"Ezra Torrence Gilliland";"New-York (E. U. da Ame- rica do Norte)";"Machinas de fabricar cigarros.";"Idem";"Idem."
"106";"2357";"Ernest Augusti George Street";"Pariz (França).";"Aperfeiçoamento em explosivos";"26 de maio";"Idem."
"107";"2558";"Max Graetz";"Berlim (Allemanha)";"Aperfeiçoamento em combustores para oleó e para a producção de chammas não luminosas proprias para o aquecimento de corpos incan- descentes";"Idem";"I-lem."
"103";"2359";"Metellurgische Gesellschaft A. G.";"Frankfort sobre o Meno (Allemanha)";"Separador magnetico.";"Idem";"Idem."
"100";"2360";"Madame Léon Bloume, née Marguérite Humbert.";"Paris (França).";"Um processo e apparelho de amalgamação deno- minado Amalgamador ascendente de corrente contrariada>";"Idem";"Idem."
"110";"2561";"Thomaz Hallwell";"Lancaster (Inglaterra)";"Aperfeiçoamento em apparelho para tingir, corar cu lavar materias fibrosas";"30 de maio";"Idem."
"111";"2532";"João de Simas Enéas.";"Capital Federal";"Um combustivel para machinas a vapor";"2 dejunho";"Idem."
"112";"2533";"João de Simas Enéas";"Idem";"Um combustivel para uso des fogões";"Idem";"Idem."
"113";"2561";"Societé Anonyme Explotation des Bre- vets Macdopald pour le traitement du plomb";"Bruxellas (Belgica)";"Aperfelcoamento no tratamento dos minereos de chumb";"Idem";"Idem."
"114";"2565";"Dr. Galdino A. do Valle.";"Nova Friburgo (Estado do Rio).";"Seccador para café ou outros productos denomi- nado Seccador Valle>.";"Idem";"Idem."
"115";"2.66";"Frederico Carlos da Cunha Junior.";"Capital Federal";"Processo de Melhoramento da fabrica de telhas pelo emprego de vidramento na parte ex- terna.";"Idem";"Idem."
"116";"2567";"Adolpho Leyret.";"Idem";"Um novo processo de annuncios";"3 de junho";"Idem."
"117";"2568";"Pretextato José de Almeida.";"Bello Horisonte (Estado de Minas Geraes)";"Uma torneira";"23 de junho";""
"118";"2150 (bis)";"Joaquím Alcaraz Y Pla";"Porto Alegre (Estado do Rio Grande)";"Melhoramentos que introduziu em sua invenção de uma machina para refinação de assucar, privilegiada pela patente n. 2150, de 17 de novembro de 1896";"Idem";"Emquanto vigorar a patente n. 2150, de 17 de novembro de 1896."
"119";"2569";"Luiz Evaristo da Costa Cabral & Comp.";"Capital Federal";"Novo systema de guarnição para latas recra- vadas";"Idem";"15 annos."
"120";"2370";"Companhia Mc. Hardy";"Campinas (Estado de São Paulo";"Machina Economica> para beneficiar café";"Idem";"Idem."
