"N";"DATA DA EXPEDIÇÃO";"CONCESSIONARIOS";"RESIDENCIA";"OBJECTO"
"2.960";"21 "" "" """;"Bapst & Hamet";"França";"Aperfeiçoamentos na extracção da gomma elastica (caoutchue)."
"2.961";"24 "" """;"Gov. Amaldo & Comp";"Italia";"Torpedo para bloqueio < Elie modelo, 1896. """
"2.962";"24 "" """;"Joaquim Alves de Sonza e Pedro Fernandes Porto.";"Capital Federal";"Oleos destinados á luz e pintura, e cavão para ser- vir de combustivel."
"2.963";"9 de dezembro de 1899.";"Antonio Carlos Chachá Pereira";"Estado do Rio Grande do Sul.";"Fogareiro formicida colonial, para matar formigas."
"2.961";"9 "" . "" "" """;"Nichola P. Perkins";"Estados Unidos da America do Norte.";"Machina aperfeiçoada de cortar fumo."
"2.965";"9 "" "" "" """;"Guilherme Muller.";"Estado do Paraná";"Extracto tannino para curtimento dos couros."
"2.966";"13 "" """;"Josino Ribeiro dé Castra";"Capital Federal.";"Novo systema de confecção de loterias denominada - Excelsior"
"2.967";"13 """;"Edward Augustus Vilard";"Estados Unidos da America do Norte.";"Aperfeiçoamentos na utilisação do ar comprimido como forçp motora."
"2.968";"13";"Maria Luiza Monteiro Brazil";"Capital Federal.";"Nova massa para rolos typographicos, denominada - Massa universal"
"2.969";"13 """;"Georg Friedrich Lehóde.";"França";"Novo apparelho para impregnar madeira."
"2.970";"13 """;"The Crown Cork Company Limited";"Inglaterra.";"Nova machina para arrolhar garrafas."
"2.971";"13 "" """;"Pedro de Mello";"França.";"Nova lampada electrica incandescente."
"2.943";"8 """;"Jean M. Dandreon";"Estado do Paraná";"Novos cigarros aperfeiçoados."
"2.914";"8 """;"The Automatic Telephone Company Limited.";"Inglaterra";"Novo systema automatico de permutação telepho- nica."
"2.945";"8 """;"Willarp Smith Ishan e Clinton Smit.";"Estados Unidos da America do Norte.";"Projectil carregado de explosixo de grande força."
"2,916";"8 """;"Dr. Emil Fleischer";"Allemanha";"Aperfeiçoamento na fabricação de gaz de agua."
"2,947";"8 """;"Ettore Zurlini.";"Estado de Minas Geraes";"character(0) Novo filtro denominado - Filtro instantaneo."
"2.948";"8 """;"John Restine Secor";"Estados Unidos da America do Norte.";"Aperfeiçoamentos em machinismos propulsores de navios."
"2.949";"8 """;"Felix Kuhl";"Estado do Rio Grande do Sul.";"Novo systema de lata com tampa hermetica, deno- minada - Lata mecanica Segurança."
"2.950";"8 """;"Carlos Ernesto de Miranda";"Capital Federal.";"Aperfeiçoamento em rodas para carros, carroças e vehiculos semelhantes."
"2.951";"10";"Joh Fried Walnhnann & Comp";"Allemanha";"Processo para expedir por um só fio conductor, dous ou mais telegrammas ao mesmo tempo e em sentidos oppostos."
"2.952";"10";"José Constancio de Jesus";"Capital Federal.";"Novo preparado pharmaceutico para uso externo, denominado - Ulcerida de Jesus"
"2.953";"10";"George Archibald Lovery";"Estados Unidos da America do Norte.";"Apparelho para comprimir fibras ou outros ma- terias."
"2.954";"18";"José Rodrigo Botet e Antonio Tena.- lavoro.";"Estado de S. Paulo";"Systema de fabrico de sabão, denominado - Electro- microbicida."
"2.955";"21";"D. M. Costa & Comp";"Capital Federal.";"Aperfeiçoamento no processo de fabricar carteiras duplas para cigarros."
"2.956";"21";"Carlos Augusto Berger";"Estado do Rio Grande do Sul.";"Apparelho para o exterminio de quaesquer insectos, denominado - Devastadora dos inseclos."
"2.957";"21";"Rudolf Diesel";"Allemanha";"Novas machinas de combustão interna."
"2.958";"22 """;"Alfredo da Costa Morgado.";"Capital Federal.";"Novo movel denominado -Cama mobilia."
"2.810";"6";"Os mesmos";"Idem";"Aperfeiçoamentos relativos ao tratamento do ar dos esgotos e outros gazes nocivos. assim como das materias em transito nos esgotos."
"2,811";"6";"José Sartorio";"Estado de S. Paulo";"Apparelho denominado - Phebus - para fabricação de gaz acetyleno."
"2.812";"6";"Heinrich Hempel";"Allemanha";"Apparelho para solidificar espiritos ou alcools."
"2.813";"6";"Hime & Comp.";"Capital Federal.";"Ferro de engommar com grelhas aperfeiçoadas."
"2,814";"6";"Francisco de Assis Silveira Graça";"Estado de S. Paulo";"Apparelho destinado a produzir o gaz acetyleno do modo o mais simples, mais economico, offere- cendo toda a segurança e resultado pratico do seu emprego, denominado - Gazometro Graça."
"2.815";"6 """;"Emile Béde.";"Belgica";"Orgãos de transmissão electrica applicado á tra- eção."
"2.816";"6";"Gaspar Joaquim Corrêa de Menezes";"Capital Federal.";"Amassador para o fabrico de pão, denominado- Amassador mecanico Eureka."
"2.817";"6";"Harry William Neild";"Inglaterra";"Ligações para fios de telegrapho e outros fios con- ductores de electricidade."
"2.818";"6 """;"Duke William Bullard";"Idem";"Aperfeiçoamentos em machina para fabricar cha- rutos,"
"2.819";"6";"Alberto Edward J. Waldemar e John Zieilgaard.";"Dinamarca";"Processo de desvulcanização de borracha, gutta- percha, gomma elastica e substancias analogas."
"2.820";"10";"Adolpho Klingelhoefer e Dr. Carlos Cesar de Oliveira Sampaio.";"França e Capital Federal";"Aperfeiçoamentos em pilhas secundarias."
"2.821";"10";"Ernest Charles Dealtray";"Idem";"Machina para encher carteiras com cigarros."
"2.822";"15";"Robert de Coulon.";"Idem";"Dispositivos applicaveis a carros susceptiveis de correr sobre trilhos e sobre estradas ordinarias."
"2.823";"15";"Companhia Wickens, Sons & Maxim Limited.";"Inglaterra.";"Canhão automatico aperfeiçoado."
"2.824";"15";"Leon Seymour Thompson";"Estados Unidos da America do Norte.";"Aperfeiçoamentos em telegraphos de navios para transmittir signaes."
