"";"N";"CONCESSIONARIOS";"DOMICILIO";"OBJECTO";"DECRETO";"DURAÇÃO"
"163";"1529";"Eugene Hermite";"Pariz";"Processo de desinfecção das aguas de esgoto, das materias fecaes, das aguas estagnadas, das dos porões de navios, e apparelhos para esses fins";"Idem.";"Idem."
"164";"1530";"Luiz da Silva Bruhns e João Machado Nunes";"Capital Federal";"Colchão automato-hygienico";"Idem.";"Idem."
"165";"1531";"José Sanchez";"Estado do Rio Grande do Sul.";"Processo e machinas para a fabricação de crina vegetal, cabos e cordas extrahidos da palha ou folha do butiazeiro.";"Idem";"Idem."
"166";"1532";"Christiano Junior";"Capital Federal";"Processo aperfeiçoado de fabricar vinho de canna";"21 de dezembro.";"Idem."
"167";"1533";"Gustav Henock e Edmond Maurice Comte Exelmans.";"Do 10 em Pariz e do 2° na Allemanha";"Systema de classificação dos minereos pelo methodo secco, por meio do ar comprimido.";"Idem";"Idem."
"168";"1534";"Joaquim Ramos de Azevedo.";"Capital Federal";"Novo forno denominado-Ramos-, - para torrar café, farinha de mandioca e outros productos que se prestem";"Idem";"Idem."
"169";"1535";"Pedro Antonio Santangelo";"Estado de S. Paulo,";"Machina destinada a ventilar café descascado, denominada - Ventilador-Separador San- tangelo.";"Idem.";"Idem."
"170";"1536";"John Sherrington.";"Idem.";"Machina para separar, catar e pesar o café, denominada - Catador-Separador Sherring- ton.";"Idem.";"Idem."
"171";"1537";"Louis Hirechfeld.";"Pariz";"Novo caderno de papel para cigarros, deno- minado - L'Automatique.";"27 de dezembro.";"Idem."
"172";"1533";"José Procopio Machado.";"Estado de Minas Geraes,";"Descascador automatico para cafè e arroz, denominado - Descascador Machado.";"Idem.";"Idem."
"173";"1539";"Pedro Lahr";"Capital Federal";"Machina para amassar barro e fazer com ella tijolos prensados sobre mesa rotativa";"Idem";"Idem"
"174";"1540";"José Simeão da Costa.";"Idem";"Novo systema de calçamento denominado - Pavimento Sanitario Fluminense, - destinado a substituir os actuaes empedramentos das ruas e tambem applicavel a tectos e soalhos.";"Idem.";"Idem."
"175";"1541";"Eduardo Leopoldino da Silva Ribeiro.";"Idem";"Nova applicação de certas pedras vulcanicas á fabricação de filtros.";"Idem.";"Idem."
"176";"1542";"Augusto Barbosa";"Idem.";"Paço tubular de ponta movel applicavel á extracção de aguas do sub-solo para diffe- rentes usos";"Idem.";"Idem."
