"N";"DATA DA EXPEDIÇÃO";"CONCES'STONARIOS";"RESIDENCIA";"OBJECTO"
"3.272";"18";"Martin William Maylar";"Inglaterra";"Aperfeiçoamentos em ou relativos a meios de des- cobrir condições anormaes do ar ou atmosphera."
"3.273";"18";"Idem";"Idem";"Aperfeiçoamentos em ou relativos a apparelhos in- dicadores empregados em armas de fogo."
"3.274";"20";"Giulio Senazonetti";"Italia";"Repreza das torrentes por meio de diques insub- mersiveis, canaes horisontaes e poços verticaes de escoamento."
"3.275";"20";"";"Idem";"Diques e apparelhos de immersão."
"3.276";"22";"François Paul Romani.";"França";"Apparelho automatico e instantaneo para produ- cção de photographias."
"3.277";"26";"João Augusto Wennermark";"Estado de S. Paulo";"Descascador aperfeiçoado para café, arroz e outros grãos, denominado "" Descascador Wennermark """
"3.278";"26";"Edward Clarence Paramore";"Estados Unidos da America do Norte.";"Processo e apparelho para produeção, tratamento e utilisação do gaz chloro."
"3.279";"26";"Padre Roberto Sandell de Moura.";"Estado de S. Paulo";"Apparelho destinado a transmissão phonetica á distancia com fio, e sem flo, atravez do espaço, da terra e do elemento aquoso."
"3.280";"26";"John Klein.";"Estados Unidos da America do Norte.";"Clarificador de minerio."
"3.281";"27";"Holzer Fay Bela";"Estado do Rio de Janeiro";"Photographia por um novo processo sobre a base de celluloide."
"3.282";"27";"Nereu Marinho de Amorim";"Capital Federal.";"Machinismo destinado a dar movimento e direcção á pequena embarcação, ao qual deu o nome de "" Propulsor Pauxys ""."
"3.283";"29";"Lourenço da Silva e Oliveira";"Idem";"Plano para ser automaticamente extincto o incendio dos inflammaveis liquidos e recuperada ao mesmo tempo quasi a totalidades dos ditos liquidos, plano que designou sob o titulo de "" Extinctor e recuperador automatico"""
"3.284";"30";"Manoel José Vaz da Motta.";"Capital Federal.";"Novo systema de placas indicadoras para esquinas, praças, etc."
"3.285";"1 de abril de 1901";"Solar Motor Company";"Estados Unidos da America do Norte.";"Gerador Solar."
"3.286";"1";"José Carlos do Patrocinio";"Capital Federal.";"Aerostato Santa Cruz."
"3.287";"6";"Henry D. Perhy";"Estados Unidos da America do Norte.";"Aperfeiçoamentos em machinas para fabricar bis- coutos."
"3.288";"6 de abril de 1901.";"Gaston Pertissier.";"Estado do Rio de Janeiro";"Fogão a kerosene aperfeiçoado."
"3.289";"6 "" """;"Dr. Alvaro Alberto da Silva";"Capital Federal.";"Novo genero de explosivos."
"3.290";"10";"Arthur da Costa_Lima";"Idem";"Alavanca motora, que utilisando-se de peso ou força diminuta, segundo o ponto de apoio, dá força dupla, tripla, quadrupla e assim por diante, tendo por fim mover diversos apparelhos."
"3,291";"11";"Antonio Rodrigues de Mello";"Idem";"Apparelho para ser adaptado ás bacias communs, de agathe, zinco ou cobre, tomando a fórma de uma poltrona."
"3.292";"12";"Pedro Antonio Santangelo.";"Estado de S. Paulo";"Separador para café denominado "" Separador cy- lindrico Santangelo, dito machina A."""
"3.293";"12";"Idem. .";"Idem";"Ventilador para café denominado Ventilador singelo Santangelo, dito machina B."""
"3.294";"12";"Idem.";"Idem";"Descascador para café, denominado Descascador Santangelo, dito machina C."""
"3.295";"12";"Idem.";"Idem";"Ventilador duplo denominado "" Ventilador duplo Santangelo, dito machina D."""
"3.296";"12";"Idem.";"Idem";"Brunidor de café, denominado Brunidor Santan- gelo, dito machina E."""
"3.297";"12";"Idem.";"Idem";"Catador para café, denominado Catador Unifor- me Santangelo, dito Machina F""."
"3.298";"12";"Idem.";"Idem";"Separador completo para café denominado Sepa- rador cylindrico completo Santangelo, dito ma- china G."""
"3.299";"12";"Idem.";"Idem";"Engenho destinado a estabelecer os typos e classes de café, denominado <nEngenho de café brazileiro""."
"3.300";"12";"Bernardo Caymarl.";"Estado do Rio de Janeiro";"Fornes electricos Caymari, destinados a fundir metaes por meio da electricidade .e fornos reves- tidos de amiantho."
"3.301";"18";"José de Souza Barros.";"Estado de S. Paulo";"Apparelho para apanhar arias auriferas e outras."
"3.302";"18";"Gray National Telantograph Com- pany.";"Estados Unidos da America do Norte.";"Aperfeiçoamentos em processos e apparelhos de transmissão telantographicas."
"3.303";"18";"Paul Eugene Domergue.";"França";"Systema de dynamo especialmente applicavel para actuar ventiladores."
"3.304";"18";"James Dunlop.";"Inglaterra";"Aperfeiçoamento em martellos pneumaticos."
"3.305";"25";"Victor Girant";"Capital Federal.";"Apparelho destinado a accender os bicos de luz incandescente, denominado "" Rampa-luz ""."
"3.306";"25";"Thomaz Cole e Willian Lawes Cole.";"Inglaterra";"Aperfeiçoamento em apparelhos de produzir fios."
"3.307";"25";"John William Knicaid";"Estados Unidos da America do Norte.";"Apparelho automatico de alimentação de combus- tivel para caldeiras, denominado "" foguista me- canico."""
"3.308";"25";"Hany Walker Abbott e Thomaz Inlaw Porter.";"Idem";"Machina para cortar moedas, discos, etc."
"3.309";"25";"Augustus Abbott";"Idem";"Machina para empacotar cigarros."
"3.310";"27";"Arthur Oscar Ferreira Rangel";"Capital Federal";"Novo systema de manufacturar o ouro em fio sem solda."
"3.311";"2 maio";"Felicissimo Paulo de Freitas e Ma- noel Joaquim de Sá Couto.";"Idem";"Placas mecanicas rotativas."
"3.312";"";"John Franklin Craig e Thomaz v. Fleminy.";"Estados Unidos da America do Norte.";"Machinas rotativas a vapor."
"3.313";"7 .";"Frederico Carlos da Cunha Junior e Felix Bocayuva.";"Capital Federal";"Novo systema de lapides, tumulos, mausuléos, cri- ptas, corôas, grinaldas e toda e qualquer especie de construções mortuarias em uso nas necropoles, a que denominaram Necropol Smalt""."
"3.314";"9 de maio de 1901";"Arens Irmãos";"Capital Federal.";"Novo moio de assentamento de tachos ou caldeiras para a fabricação de assucar e fim semelhante."
"3.315";"9";"Frederico Bender.";"Estado do Pará";"Processo de fabricação de pedra artificial, denomi- nado "" Geolitho"""
"3.316";"9";"Idem.";"Idem";"Processo de fabricação de tijolo, denominado ""Tijolo comprimido>."
"3.317";"9";"Idem.";"Idem";"Processo de fabricação de tijolo, denominado Tijolo fundido."
"3.318";"9";"Idem";"Idem";"Processo de fabricação de um novo calcamento de cimento, denominado Calçamento surdo ""."
"3.319";"9";"Raphael Stamato.";"Estado de S. Pauio";"Engenho simples e duplo para moagem de canna, denominado "" Engenho Stamato ""."
"3.320";"9";"Raynoldo Bend. Azel Cax Buell e Chevery Davison Wähburn.";"Estados Unidos da America do Norte.";"Gerador de acetyleno."
"3.321";"9";"Warien Seymour Belding.";"Idem";"Nova machina para desfibração de plantas fibrosas, taes como ramie, juta e outras."
"3.322";"9";"Fred Ford Dow";"Canadá";"Machina para torar arvores."
"3.323";"10";"G. A. Husebye";"Estado de s. Paulo";"Apparelho denominado Roda-motor""."
